Indicator,Year,WHO region,"Countries, territories and areas",Gender,Display Value,Numeric
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Egypt,Male,12.7,12.6976
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Egypt,Male,61.3,61.28712
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Egypt,Female,14.0,13.97114
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Egypt,Female,62.8,62.76928
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Egypt,Both,13.4,13.35815
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Egypt,Both,62.0,62.00186
Healthy life expectancy (HALE) at birth (years),2015,Africa,Eritrea,Male,52.2,52.18055
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Eritrea,Male,10.0,9.97847
Healthy life expectancy (HALE) at birth (years),2015,Africa,Eritrea,Female,56.2,56.20909
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Eritrea,Female,12.2,12.15886
Healthy life expectancy (HALE) at birth (years),2015,Africa,Eritrea,Both,54.1,54.09749
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Eritrea,Both,11.1,11.08007
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Spain,Male,17.5,17.52738
Healthy life expectancy (HALE) at birth (years),2019,Europe,Spain,Male,71.3,71.26471
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Spain,Female,20.0,19.96244
Healthy life expectancy (HALE) at birth (years),2019,Europe,Spain,Female,72.9,72.85237
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Spain,Both,18.8,18.78876
Healthy life expectancy (HALE) at birth (years),2019,Europe,Spain,Both,72.1,72.08696
Healthy life expectancy (HALE) at birth (years),2019,Europe,Estonia,Male,66.4,66.39296
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Estonia,Male,14.8,14.8376
Healthy life expectancy (HALE) at birth (years),2019,Europe,Estonia,Female,71.7,71.72031
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Estonia,Female,19.1,19.14114
Healthy life expectancy (HALE) at birth (years),2019,Europe,Estonia,Both,69.2,69.23646
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Estonia,Both,17.3,17.29487
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Ethiopia,Male,13.3,13.3248
Healthy life expectancy (HALE) at birth (years),2000,Africa,Ethiopia,Female,44.8,44.84724
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Ethiopia,Female,14.4,14.37706
Healthy life expectancy (HALE) at birth (years),2000,Africa,Ethiopia,Both,44.3,44.33031
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Ethiopia,Both,13.9,13.868
Healthy life expectancy (HALE) at birth (years),2000,Europe,Finland,Male,65.8,65.78826
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Finland,Male,14.9,14.87192
Healthy life expectancy (HALE) at birth (years),2000,Europe,Finland,Female,69.6,69.6449
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Finland,Female,17.9,17.8996
Healthy life expectancy (HALE) at birth (years),2000,Europe,Finland,Both,67.8,67.77811
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Finland,Both,16.5,16.54343
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Fiji,Male,10.1,10.05609
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Fiji,Male,58.8,58.81817
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Fiji,Female,11.8,11.83345
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Fiji,Female,60.2,60.24785
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Fiji,Both,10.9,10.8962
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Fiji,Both,59.5,59.49457
Healthy life expectancy (HALE) at birth (years),2010,Europe,France,Male,69.7,69.71469
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,France,Male,17.9,17.85571
Healthy life expectancy (HALE) at birth (years),2010,Europe,France,Female,72.5,72.53592
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,France,Female,20.6,20.59949
Healthy life expectancy (HALE) at birth (years),2010,Europe,France,Both,71.2,71.16278
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,France,Both,19.3,19.31602
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Micronesia (Federated States of),Male,10.9,10.9307
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Micronesia (Federated States of),Male,54.3,54.28231
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Micronesia (Federated States of),Female,11.7,11.69701
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Micronesia (Federated States of),Female,57.5,57.50643
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Micronesia (Federated States of),Both,11.3,11.3171
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Micronesia (Federated States of),Both,55.8,55.79617
Healthy life expectancy (HALE) at birth (years),2015,Africa,Gabon,Male,54.8,54.75459
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Gabon,Male,11.2,11.16076
Healthy life expectancy (HALE) at birth (years),2015,Africa,Gabon,Female,58.0,57.98259
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Gabon,Female,14.0,14.01339
Healthy life expectancy (HALE) at birth (years),2015,Africa,Gabon,Both,56.3,56.28936
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Gabon,Both,12.6,12.57844
Healthy life expectancy (HALE) at birth (years),2019,Africa,Gabon,Both,57.6,57.56165
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,United Kingdom of Great Britain and Northern Ireland,Male,17.1,17.14032
Healthy life expectancy (HALE) at birth (years),2019,Europe,United Kingdom of Great Britain and Northern Ireland,Male,69.6,69.63692
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,United Kingdom of Great Britain and Northern Ireland,Female,18.5,18.53356
Healthy life expectancy (HALE) at birth (years),2019,Europe,United Kingdom of Great Britain and Northern Ireland,Female,70.6,70.6181
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,United Kingdom of Great Britain and Northern Ireland,Both,17.9,17.85546
Healthy life expectancy (HALE) at birth (years),2019,Europe,United Kingdom of Great Britain and Northern Ireland,Both,70.1,70.13491
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,United Kingdom of Great Britain and Northern Ireland,Both,18.3,18.25265
Healthy life expectancy (HALE) at birth (years),2019,Europe,Georgia,Male,61.4,61.43597
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Georgia,Male,12.4,12.41331
Healthy life expectancy (HALE) at birth (years),2019,Europe,Georgia,Female,67.9,67.91465
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Georgia,Female,16.1,16.0688
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Georgia,Both,14.4,14.40968
Healthy life expectancy (HALE) at birth (years),2000,Africa,Ghana,Male,51.4,51.3658
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Ghana,Male,11.9,11.89177
Healthy life expectancy (HALE) at birth (years),2000,Africa,Ghana,Female,52.5,52.46387
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Ghana,Female,14.0,14.00981
Healthy life expectancy (HALE) at birth (years),2000,Africa,Ghana,Both,51.9,51.89802
Healthy life expectancy (HALE) at birth (years),2000,Africa,Guinea,Male,47.3,47.31316
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Guinea,Male,11.4,11.40671
Healthy life expectancy (HALE) at birth (years),2000,Africa,Guinea,Female,47.8,47.80984
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Guinea,Female,12.0,12.01271
Healthy life expectancy (HALE) at birth (years),2000,Africa,Guinea,Both,47.5,47.53795
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Guinea,Both,11.7,11.74367
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Gambia,Male,11.6,11.57485
Healthy life expectancy (HALE) at birth (years),2010,Africa,Gambia,Male,53.9,53.9106
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Gambia,Female,13.0,12.96782
Healthy life expectancy (HALE) at birth (years),2010,Africa,Gambia,Female,55.0,55.00703
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Gambia,Both,12.2,12.23052
Healthy life expectancy (HALE) at birth (years),2010,Africa,Gambia,Both,54.4,54.39278
Healthy life expectancy (HALE) at birth (years),2010,Africa,Guinea-Bissau,Male,47.3,47.34467
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Guinea-Bissau,Male,9.7,9.67485
Healthy life expectancy (HALE) at birth (years),2010,Africa,Guinea-Bissau,Female,49.7,49.71408
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Guinea-Bissau,Female,11.5,11.50909
Healthy life expectancy (HALE) at birth (years),2010,Africa,Guinea-Bissau,Both,48.6,48.5592
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Guinea-Bissau,Both,10.7,10.69615
Healthy life expectancy (HALE) at birth (years),2015,Africa,Guinea-Bissau,Both,50.9,50.92004
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Equatorial Guinea,Male,12.5,12.50956
Healthy life expectancy (HALE) at birth (years),2015,Africa,Equatorial Guinea,Male,52.9,52.85405
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Equatorial Guinea,Female,13.1,13.14856
Healthy life expectancy (HALE) at birth (years),2015,Africa,Equatorial Guinea,Female,52.6,52.5975
Healthy life expectancy (HALE) at birth (years),2015,Africa,Equatorial Guinea,Both,52.9,52.89771
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Equatorial Guinea,Both,12.9,12.94235
Healthy life expectancy (HALE) at birth (years),2015,Europe,Greece,Male,69.3,69.30382
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Greece,Male,17.1,17.08697
Healthy life expectancy (HALE) at birth (years),2015,Europe,Greece,Female,71.6,71.55304
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Greece,Female,19.3,19.2697
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Greece,Both,18.2,18.20249
Healthy life expectancy (HALE) at birth (years),2019,Europe,Greece,Both,70.9,70.87168
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Grenada,Male,13.3,13.31455
Healthy life expectancy (HALE) at birth (years),2019,Americas,Grenada,Male,62.6,62.59918
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Grenada,Female,15.7,15.66503
Healthy life expectancy (HALE) at birth (years),2019,Americas,Grenada,Female,65.4,65.35737
Healthy life expectancy (HALE) at birth (years),2019,Americas,Grenada,Both,63.9,63.91517
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Grenada,Both,14.3,14.33735
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Afghanistan,Male,54.7,54.73407
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Afghanistan,Male,11.2,11.16827
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Afghanistan,Female,46.6,46.58344
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Afghanistan,Female,10.6,10.55539
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Afghanistan,Both,46.8,46.76397
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Afghanistan,Both,10.8,10.83648
Healthy life expectancy (HALE) at birth (years),2000,Africa,Angola,Male,41.2,41.18177
Healthy life expectancy (HALE) at birth (years),2000,Africa,Angola,Female,44.7,44.74432
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Angola,Female,11.8,11.80188
Healthy life expectancy (HALE) at birth (years),2000,Africa,Angola,Both,42.9,42.87378
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Angola,Both,10.7,10.73909
Healthy life expectancy (HALE) at birth (years),2000,Europe,Albania,Male,63.1,63.14932
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Albania,Male,13.5,13.50208
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Albania,Female,16.7,16.71034
Healthy life expectancy (HALE) at birth (years),2010,Europe,Albania,Female,68.9,68.85171
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Albania,Both,15.0,14.98377
Healthy life expectancy (HALE) at birth (years),2010,Europe,Albania,Both,67.6,67.56772
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,United Arab Emirates,Male,13.3,13.33952
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,United Arab Emirates,Male,64.9,64.91484
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,United Arab Emirates,Female,65.3,65.25387
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,United Arab Emirates,Female,14.7,14.73401
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,United Arab Emirates,Both,65.1,65.10197
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,United Arab Emirates,Both,14.1,14.12035
Healthy life expectancy (HALE) at birth (years),2010,Americas,Argentina,Male,64.4,64.37117
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Argentina,Male,14.4,14.4191
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Argentina,Female,17.4,17.38688
Healthy life expectancy (HALE) at birth (years),2015,Americas,Argentina,Female,68.7,68.69806
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Argentina,Both,16.0,15.99706
Healthy life expectancy (HALE) at birth (years),2015,Americas,Argentina,Both,66.9,66.85706
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Armenia,Male,13.2,13.16242
Healthy life expectancy (HALE) at birth (years),2015,Europe,Armenia,Male,63.7,63.6669
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Armenia,Male,13.6,13.58069
Healthy life expectancy (HALE) at birth (years),2015,Europe,Armenia,Female,68.1,68.14306
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Armenia,Female,16.2,16.21935
Healthy life expectancy (HALE) at birth (years),2015,Europe,Armenia,Both,66.0,65.99944
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Armenia,Both,15.0,15.02079
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Antigua and Barbuda,Male,15.1,15.14347
Healthy life expectancy (HALE) at birth (years),2019,Americas,Antigua and Barbuda,Male,66.2,66.24539
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Antigua and Barbuda,Female,16.3,16.32233
Healthy life expectancy (HALE) at birth (years),2019,Americas,Antigua and Barbuda,Female,67.7,67.69177
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Antigua and Barbuda,Both,15.8,15.76024
Healthy life expectancy (HALE) at birth (years),2019,Americas,Antigua and Barbuda,Both,67.0,66.97486
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Australia,Male,70.2,70.15115
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Australia,Male,18.2,18.24803
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Australia,Female,71.7,71.73072
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Australia,Female,19.7,19.70638
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Australia,Both,70.9,70.93405
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Australia,Both,19.0,18.98279
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Austria,Male,17.2,17.1768
Healthy life expectancy (HALE) at birth (years),2000,Europe,Austria,Female,69.8,69.81113
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Austria,Female,19.4,19.41547
Healthy life expectancy (HALE) at birth (years),2000,Europe,Austria,Both,68.2,68.17779
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Austria,Both,18.3,18.34516
Healthy life expectancy (HALE) at birth (years),2000,Europe,Azerbaijan,Male,56.6,56.62009
Healthy life expectancy (HALE) at birth (years),2000,Europe,Azerbaijan,Female,60.4,60.41421
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Azerbaijan,Female,13.9,13.92904
Healthy life expectancy (HALE) at birth (years),2000,Europe,Azerbaijan,Both,58.5,58.49506
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Azerbaijan,Both,13.1,13.0793
Healthy life expectancy (HALE) at birth (years),2000,Africa,Burundi,Male,36.6,36.64311
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Burundi,Male,9.1,9.1138
Healthy life expectancy (HALE) at birth (years),2010,Africa,Burundi,Male,49.6,49.63296
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Burundi,Female,10.6,10.63947
Healthy life expectancy (HALE) at birth (years),2010,Africa,Burundi,Female,52.1,52.11441
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Burundi,Both,9.9,9.92586
Healthy life expectancy (HALE) at birth (years),2010,Africa,Burundi,Both,50.9,50.88001
Healthy life expectancy (HALE) at birth (years),2010,Europe,Belgium,Male,68.0,68.00331
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Belgium,Male,16.3,16.26272
Healthy life expectancy (HALE) at birth (years),2010,Europe,Belgium,Female,70.4,70.36259
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Belgium,Female,18.6,18.64852
